year,month,day,deforestation_area_ha
2023,10,10,0.0
2023,10,11,0.0
2023,10,12,4477.455830810217
2023,10,13,0.0
2023,10,14,0.0
2023,10,15,4530.614415944444
2023,10,16,0.0
2023,10,17,21432.40572736194
2023,10,18,12034.002114591014
2023,10,19,0.0
2023,10,20,2862.998416333641
2023,10,21,0.0
2023,10,22,14566.174633260867
2023,10,23,0.0
2023,10,24,3487.047895887261
2023,10,25,14090.16263318749
2023,10,26,0.0
2023,10,27,22788.07690862123
2023,10,28,0.0
2023,10,29,21262.42546020088
2023,10,30,0.0
2023,10,31,0.0
2023,11,1,12540.584707333453
2023,11,2,0.0
2023,11,3,0.0
2023,11,4,0.0
2023,11,5,0.0
2023,11,6,464.0594536348872
2023,11,7,5673.537494281381
2023,11,8,2867.3523028472846
2023,11,9,5324.115871171201
2023,11,10,0.0
2023,11,11,4244.995419026765
2023,11,12,32172.003829461064
2023,11,13,0.0
2023,11,14,18630.235004745402
2023,11,15,0.0
2023,11,16,32296.066878002253
2023,11,17,0.0
2023,11,18,10197.96514109203
2023,11,19,0.0
2023,11,20,0.0
2023,11,21,5162.808609292689
2023,11,22,0.0
2023,11,23,591.3447144914401
2023,11,24,12562.25545153775
2023,11,25,2810.8468679337057
2023,11,26,0.0
2023,11,27,0.0
2023,11,28,12111.403033906976
2023,11,29,0.0
2023,11,30,359.6030289477194
2023,12,1,14795.571511542152
2023,12,2,0.0
2023,12,3,5467.824854647395
2023,12,4,0.0
2023,12,5,0.0
2023,12,6,8376.760835974843
2023,12,7,0.0
2023,12,8,0.0
2023,12,9,8728.253753081932
2023,12,10,0.0
2023,12,11,42.10279484188385
2023,12,12,11418.113187067074
2023,12,13,0.0
2023,12,14,0.0
2023,12,15,0.0
2023,12,16,62732.56341868182
2023,12,17,0.0
2023,12,18,27165.629496678626
2023,12,19,0.0
2023,12,20,47.427174094147176
2023,12,21,3985.677999445846
2023,12,23,0.0
2023,12,24,7978.3491393174645
2023,12,25,0.0
2023,12,26,1343.9894645414033
2023,12,27,0.0
2023,12,28,1149.6057072074664
2023,12,29,3977.34156182408
2023,12,30,0.0
2023,12,31,1502.3575088458492
2024,1,1,0.0
2024,1,2,2503.598659776754
2024,1,3,0.0
2024,1,4,528.9982093187964
2024,1,5,2366.8441124510864
2024,1,6,0.0
2024,1,7,617.1024554817657
2024,1,8,1282.102490607691
2024,1,9,0.0
2024,1,10,5166.448526520965
2024,1,11,0.0
2024,1,12,64.29327271977587
2024,1,13,0.0
2024,1,14,0.0
2024,1,15,267.760258909962
2024,1,16,1601.026460608779
2024,1,17,910.924669257367
2024,1,18,10485.121870846227
2024,1,19,0.0
2024,1,20,1462.6476332056902
2024,1,21,0.0
2024,1,22,0.0
2024,1,23,843.6770630134995
2024,1,24,0.0
2024,1,25,805.6960322743082
2024,1,27,0.0
2024,1,28,388.79029618948243
2024,1,29,888.168015391969
2024,1,30,3016.672804717177
2024,1,31,0.0
2024,2,3,526.9416672292975
2024,2,4,677.965287505809
2024,2,5,13180.456558277545
2024,2,6,0.0
2024,2,7,692.0348876951505
2024,2,8,0.0
2024,2,9,1993.3106616887774
2024,2,10,0.0
2024,2,11,352.09404013053324
2024,2,12,2520.4628016547226
2024,2,14,25277.62114872286
2024,2,15,0.0
2024,2,16,5928.078400920009
2024,2,17,0.0
2024,2,18,1535.1018995684785
2024,2,19,11916.345934456534
2024,2,20,0.0
2024,2,21,20267.73429082903
2024,2,22,4401.920833124459
2024,2,23,0.0
2024,2,24,0.0
2024,2,25,1784.4659972655427
2024,2,26,0.0
2024,2,27,2.247792894094232
2024,2,28,10439.965264706869
2024,2,29,81422.43015528149
2024,3,1,0.0
2024,3,2,2481.4939938547323
2024,3,4,0.0
2024,3,5,10675.411328746399
2024,3,6,0.0
2024,3,7,0.0
2024,3,8,0.0
2024,3,9,0.0
2024,3,10,42756.78900004789
2024,3,11,0.0
2024,3,12,591.2572571122093
2024,3,13,0.0
2024,3,14,7100.375943478361
2024,3,15,0.0
2024,3,16,0.0
2024,3,17,390.6633967219524
2024,3,18,724.3805412184358
2024,3,19,0.0
2024,3,20,0.0
2024,3,21,0.0
2024,3,22,97761.438300867
2024,3,23,0.0
2024,3,24,0.0
2024,3,26,145.70734171711672
2024,3,27,83300.49169264763
2024,3,28,0.0
2024,3,30,4845.357551701592
2024,3,31,0.0
2024,4,1,6544.396697901795
2024,4,2,0.0
2024,4,3,7497.426693711941
2024,4,4,0.0
2024,4,5,0.0
2024,4,6,97.74037098318746
2024,4,7,0.0
2024,4,8,103810.78601750592
2024,4,9,0.0
2024,4,10,0.0
2024,4,11,1500.0379151939876
2024,4,12,0.0
2024,4,13,441.2037840598899
2024,4,14,0.0
2024,4,15,0.0
2024,4,16,0.0
2024,4,17,177.84263279391956
2024,4,18,493.86452822424377
2024,4,19,0.0
2024,4,20,405.81447825751604
2024,4,21,0.0
2024,4,22,230.96710681303975
2024,4,23,1728.0853646042933
2024,4,24,0.0
2024,4,25,0.0
2024,4,26,2581.0292701826215
2024,4,27,0.0
2024,4,28,2771.978719794988
2024,4,29,18450.880476291048
2024,4,30,0.0
2024,5,1,4928.681447440254
2024,5,2,42698.40702799913
2024,5,3,0.0
2024,5,4,19276.849882638206
2024,5,5,30002.57961736769
2024,5,6,0.0
2024,5,7,19446.711139970517
2024,5,8,0.0
2024,5,9,18208.129854464685
2024,5,10,0.0
2024,5,11,5084.742318211173
2024,5,12,5443.740474102164
2024,5,13,0.0
2024,5,14,3289.43734585123
2024,5,15,0.0
2024,5,16,2767.3966781846807
2024,5,17,0.0
2024,5,18,0.0
2024,5,19,9785.772122964978
2024,5,20,0.0
2024,5,21,3957.4332034290273
2024,5,22,0.0
2024,5,23,0.0
2024,5,24,3591.8771706278476
2024,5,25,0.0
2024,5,26,0.0
2024,5,27,12252.352312588253
2024,5,28,0.0
